complexity,comments,duplication,test_success,fast_tests,coverage,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
1.0,0.04878048780487805,0.9512195121951219,0.0,1.0,0.24390243902439024,fga-eps-mds-2024.2-ARANDU-APP,01-08-2025-23-06-35,8494,0.66,0.3719512195121951,0.33,0.18597560975609756,0.5159756097560976
1.0,0.04878048780487805,0.9512195121951219,0.0,1.0,0.0,fga-eps-mds-2024.2-ARANDU-APP,01-08-2025-23-48-02,8494,0.66,0.25,0.33,0.125,0.455
1.0,0.04878048780487805,0.9512195121951219,0.0,1.0,0.24390243902439024,fga-eps-mds-2024.2-ARANDU-APP,01-10-2025-02-49-42,8494,0.66,0.3719512195121951,0.33,0.18597560975609756,0.5159756097560976
1.0,0.024390243902439025,0.9512195121951219,0.0,1.0,0.2926829268292683,fga-eps-mds-2024.2-ARANDU-APP,01-10-2025-03-48-11,8374,0.6519512195121951,0.39634146341463417,0.3259756097560976,0.19817073170731708,0.5241463414634147
1.0,0.024390243902439025,0.9512195121951219,0.0,1.0,0.2926829268292683,fga-eps-mds-2024.2-ARANDU-APP,01-10-2025-22-49-59,8274,0.6519512195121951,0.39634146341463417,0.3259756097560976,0.19817073170731708,0.5241463414634147
1.0,0.022222222222222223,0.9555555555555556,0.0,1.0,0.26666666666666666,fga-eps-mds-2024.2-ARANDU-APP,01-10-2025-23-12-12,9605,0.6526666666666667,0.3833333333333333,0.32633333333333336,0.19166666666666665,0.518
1.0,0.041666666666666664,0.9166666666666666,0.0,1.0,0.25,fga-eps-mds-2024.2-ARANDU-APP,01-11-2025-01-31-40,10109,0.64625,0.375,0.323125,0.1875,0.510625
1.0,0.041666666666666664,0.9166666666666666,0.0,1.0,0.25,fga-eps-mds-2024.2-ARANDU-APP,01-11-2025-02-16-05,10059,0.64625,0.375,0.323125,0.1875,0.510625
1.0,0.041666666666666664,0.9166666666666666,0.0,1.0,0.25,fga-eps-mds-2024.2-ARANDU-APP,01-11-2025-02-21-05,10059,0.64625,0.375,0.323125,0.1875,0.510625
1.0,0.041666666666666664,0.9166666666666666,0.0,1.0,0.25,fga-eps-mds-2024.2-ARANDU-APP,01-14-2025-21-00-12,10059,0.64625,0.375,0.323125,0.1875,0.510625
